year,state,crop,land_area,yield
2016,Jigawa,cocoyam,33.39,4.51
2016,Kaduna,cocoyam,17.83,11.35
2016,Kano,cocoyam,26.93,4.61
2016,Katsina,cocoyam,26.22,11.57
2016,Kebbi,cocoyam,48.95,2.6
2016,Kogi,cocoyam,41.14,11.99
2016,Kwara,cocoyam,33.88,14.7
2016,Lagos,cocoyam,28.84,11.15
2016,Nasarawa,cocoyam,28.37,4.78
2016,Niger,cocoyam,41.59,10.65
2016,Ogun,cocoyam,62.02,11.32
2016,Ondo,cocoyam,73.34,3.55
2016,Osun,cocoyam,38.28,7.47
2016,Oyo,cocoyam,64.52,5.92
2016,Plateau,cocoyam,35.12,11.59
2016,Rivers,cocoyam,44.03,9.16
2016,Sokoto,cocoyam,32.12,12
2016,Taraba,cocoyam,34.03,5.56
2016,Yobe,cocoyam,31.27,9.58
2016,Zamfara,cocoyam,26.86,8.85
2016,Abia,ginger,,
2016,Adamawa,ginger,,
2016,Akwa-Ibom,ginger,,
2016,Anambra,ginger,,
2016,Bauchi,ginger,2.23,10.31
2016,Bayelsa,ginger,,
2016,Benue,ginger,12.53,7.78
2016,Borno,ginger,,
2016,Cross River,ginger,,
2016,Delta,ginger,,
2016,Ebonyi,ginger,,
2016,Edo,ginger,,
2016,Ekiti,ginger,,
2016,Enugu,ginger,,
2016,Fct,ginger,,
2016,Gombe,ginger,,
2016,Imo,ginger,,
2016,Jigawa,ginger,,
2016,Kaduna,ginger,43.1,10.88
2016,Kano,ginger,,
2016,Katsina,ginger,,
2016,Kebbi,ginger,,
2016,Kogi,ginger,,
2016,Kwara,ginger,,
2016,Lagos,ginger,7.26,4.98
2016,Nasarawa,ginger,11.33,8.23
2016,Niger,ginger,,
2016,Ogun,ginger,,
2016,Ondo,ginger,,
2016,Osun,ginger,,
2016,Oyo,ginger,,
2016,Plateau,ginger,8.9,6.29
2016,Rivers,ginger,,
2016,Sokoto,ginger,,
2016,Taraba,ginger,,
2016,Yobe,ginger,,
2016,Zamfara,ginger,,
2016,Abia,groundnut,9.32,1.06
2016,Adamawa,groundnut,102.24,1.22
2016,Akwa-Ibom,groundnut,11.88,1.3
2016,Anambra,groundnut,,
2016,Bauchi,groundnut,394.08,1.25
2016,Bayelsa,groundnut,,
2016,Benue,groundnut,188.14,1.38
2016,Borno,groundnut,153.23,1.2
2016,Cross River,groundnut,13.33,1.32
2016,Delta,groundnut,,
2016,Ebonyi,groundnut,4.65,1.09
2016,Edo,groundnut,5.87,1
2016,Ekiti,groundnut,52.28,1.28
2016,Enugu,groundnut,5.16,1.23
2016,Fct,groundnut,174.22,1.4
2016,Gombe,groundnut,108,1.17
